temp,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
31,20,0.0145,239.16,6.13,10.19,33,34.28,4.37,294.14,48.32,Autumn
33,13.96,0.1311,172.64,4.18,6.94,22,23.17,4.99,212.05,38.44,Autumn
34,16,0.3305,202.39,4.71,7.82,25.22,28.82,5.87,249.93,42.86,Autumn
35,11.44,0.392431429,161.38,3.43,5.68,18.53,20.56,4.94,196.38,34.67,Autumn
36,14.20,0.165805556,172.60,4.26,7.07,23.64,22.94,5.16,212.20,39.80,Autumn
37,15.14,0.247538462,184.44,4.54,7.54,25.10,24.45,4.98,226.19,41.76,Autumn
38,10.32,1.15,133.12,3.09,5.13,17.36,17.05,4.25,163.79,32.53,Autumn
39,12.11,2.26,152.62,3.63,6.02,20.71,19.49,3.78,187.79,36.06,Autumn
40,14.91,2.90,185.21,4.47,7.42,25.35,24.11,3.94,228.05,44.01,Autumn
41,13.62,1.41,172.92,4.08,6.78,22.91,22.57,5.06,212.82,40.94,Autumn
42,11.61,1.58,154.93,3.48,5.77,19.55,19.76,4.33,189.85,39.85,Autumn
43,14.00,2.52,183.53,4.20,6.97,23.20,24.79,4.91,226.92,42.30,Autumn
44,13.56,3.79,173.34,4.06,6.75,22.74,23.33,4.05,215.32,41.52,Autumn
45,15,4.53,193.87,4.49,7.46,25.04,26.54,4.55,241.44,80.74,Autumn
46,14.86,3.92,191.12,4.45,7.40,24.76,25.91,4.90,237.71,69.70,Autumn
47,16.88,3.95,217.71,5.06,8.40,28.33,29.04,5.26,269.43,"4,082.22",Autumn
48,14.41,3.83,190.91,4.32,7.17,23.92,26.18,5.14,237.56,43.27,Autumn
49,16.70,5.07,216.43,5.01,8.31,28.03,29.59,5.38,269.78,124.19,Autumn
50,17.00,4.51,222.39,5.10,8.47,28.60,29.58,5.60,275.64,147.17,Autumn
51,15.92,5.55,207.90,4.77,7.93,26.73,27.90,5.15,259.20,50.36,Autumn
52,16.98,4.84,220.07,5.09,8.46,28.55,29.77,5.38,273.61,206.76,Autumn
53,15.39,4.56,200.90,4.61,7.66,25.80,27.32,4.76,249.82,45.73,Autumn
54,14.42,3.62,185.79,4.32,7.18,24.14,24.90,4.50,230.30,61.36,Autumn
55,14.34,3.53,184.66,4.30,7.14,24.19,24.59,4.30,228.52,56.01,Autumn
56,14.63,3.21,189.65,4.38,7.28,24.63,25.10,4.67,234.30,215.39,Autumn
57,14.95,5.35,198.29,4.48,7.44,24.93,27.17,5.30,248.05,155.72,Autumn
58,16.57,5.59,219.43,4.97,8.25,27.63,30.30,5.79,274.33,49.36,Autumn
59,15.87,6.33,210.86,4.76,7.90,26.47,28.91,5.43,264.19,78.01,Autumn
60,15.04,4.98,200.95,4.51,7.49,25.18,27.28,5.30,250.50,45.74,Autumn
61,15.06,4.70,201.14,4.51,7.49,25.17,26.91,5.58,250.34,45.27,Autumn
62,15.83,5.00,212.42,4.75,7.88,26.48,28.71,5.74,264.49,72.57,Autumn
63,13.90,3.70,187.89,4.17,6.92,23.09,25.35,4.93,232.95,43.59,Autumn
64,15.63,4.88,213.58,4.69,7.78,26.16,28.02,5.60,264.55,47.79,Autumn
65,16.48,6.09,215.92,4.94,8.21,27.80,28.92,5.56,269.64,50.12,Autumn
66,17.41,6.80,232.27,5.22,8.67,29.14,31.90,5.77,290.63,110.42,Autumn
67,16.47,7.08,222.32,4.94,8.20,27.67,30.64,5.54,278.71,52.68,Autumn
68,19.33,8.80,258.30,5.80,9.63,32.39,35.49,6.61,324.62,58.33,Autumn
69,18.76,9.67,253.37,5.62,9.34,31.34,34.44,7.48,319.92,57.25,Autumn
70,18.88,9.45,249.12,5.66,9.40,31.45,34.47,6.23,314.33,55.88,Autumn
71,16.37,6.05,216.74,4.91,8.15,27.31,29.15,5.80,270.80,49.37,Autumn
72,17.66,7.73,228.03,5.29,8.79,29.52,29.99,6.23,286.06,51.56,Autumn
73,18.26,11.07,242.46,5.47,9.10,30.24,33.27,6.55,307.93,52.39,Autumn
74,16.70,7.34,226.17,5.01,8.30,27.79,30.66,6.70,284.18,49.85,Autumn
75,14.94,9.38,191.19,4.48,7.44,24.80,27.07,4.52,244.08,47.16,Autumn
76,17,3.65,236.03,5.21,8.66,29,31.91,6.77,292.23,51.23,Autumn
77,17.37,8.86,244.63,5.21,8.64,28.86,33.58,7.74,308.67,53.50,Autumn
78,17.51,11.55,235.84,5.25,8.72,28.98,31.97,7.29,300.62,50.80,Autumn
79,19,18.38,240.58,5.83,9.68,32,33.86,6.50,314.83,54.12,Autumn
80,14,11.54,180.93,4.10,6.79,22,23.37,7.19,233.92,43.67,Autumn
81,16,15,199.16,4.76,7.90,26,26.97,6.63,260.69,47.09,Autumn
82,19.03,18.43,227.16,5.70,9.48,31,32.00,5.71,298.48,52.99,Autumn
