dewpoint,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,DayWeek,
-16,16.55,0.4503,195.90,4.96,8.24,26.83,26.08,4.36,239.99,41.78,WeekDay,
-15,22.32,0.0125,255.49,6.70,11,36,34.82,5.38,313.52,54.03,WeekDay,
-14,9.42,2.22,120.52,2.83,4.68,16,15.16,3.49,148.89,43.92,WeekDay,
-13,14.90,0.95645,178.01,4.47,7.41,24.89,22.70,5.41,218.96,718.48,WeekDay,
-12,11.64,3.03,137.18,3.49,6,19.49,17.93,2.95,170.40,34.90,WeekDay,
-11,14,0.963465556,169.69,4.30,7.12,24.22,20.69,4.56,207.31,40.53,WeekDay,
-10,19,9.49,237.24,5.78,10,34,30.27,3.67,296.05,60.47,Weekend,
-10,16.25,3.52,192.07,4.87,8,27.05,26.33,4.28,239.18,46.14,WeekDay,
-9,13.19,2.90,173.38,3.95,6.57,21.86,22.23,2.94,211.97,37.90,WeekDay,
-8,21,10.27,242.92,6.28,10.44,37,31.24,3.94,305.09,58.32,Weekend,
-8,18.91,3.34,235.29,5.67,9.42,31.14,31.95,5.12,296.55,51.72,WeekDay,
-7,20,9.91,243.48,6.06,10.08,36,31.44,3.82,304.79,60.56,Weekend,
-7,24,8.73,309.88,7.15,11.88,40.01,42.06,6.92,386.63,96.90,WeekDay,
-6,19.05,9.15,246.42,5.71,9.49,33.50,31.20,3.02,304.99,60.13,Weekend,
-6,21.46,12.48,263.52,6.43,10.69,36.08,36.73,5.17,335.02,63.90,WeekDay,
-5,23,4.03,259.12,6.87,11.42,39.68,33.48,3.09,318.01,59.59,Weekend,
-5,19.42,12.93,243.11,5.82,9.68,32.61,34.26,5.14,310.94,"2,042.08",WeekDay,
-4,11.63,4.95,151.08,3.49,5.78,20.01,19.41,2.40,187.11,39.62,Weekend,
-4,23.90,11.75,303.81,7.17,11.91,40.39,44.89,5.95,385.48,81.40,WeekDay,
-3,21.21,0.051857143,240.55,6.36,10.57,36.62,29.59,4.67,291.79,53.04,Weekend,
-3,14,5.60,199.71,4.16,7,23.05,22.44,4.12,242.93,39.58,WeekDay,
-2,12.26,0.5395,145.89,3.67,6.10,20.81,17.69,3.29,177.18,35.50,Weekend,
-2,18.60,8.93,231.76,5.58,9.27,30.97,32.56,5.38,293.47,53.42,WeekDay,
-1,21.91,2.02,251.66,6.57,10.92,38.03,31.11,4.40,306.68,117.96,Weekend,
-1,19.45,8.20,237.66,5.83,9.69,32.10,32.20,5.30,298.87,58.53,WeekDay,
0,19.62,5.00,224.32,5.88,9.78,34.16,28.20,3.43,276.60,572.06,Weekend,
0,18.45,5.60,237.29,5.53,9.19,30.59,32.18,6.13,295.93,65.15,WeekDay,
1,13.83,2.98,164.02,4.14,6.88,24,20.35,3.22,201.60,40.51,Weekend,
1,19.54,5.07,243.92,5.86,9.74,32.24,33.18,5.84,307.28,52.75,WeekDay,
2,19.25,1.61,216.06,5.77,9.60,33.34,26.65,3.90,263.60,57.29,Weekend,
2,17.78,6.44,218.56,5.33,8.86,29.34,29.49,5.07,273.75,707.90,WeekDay,
