gust,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
0,16.59,4.89,214.61,4.97,8.26,27.90,28.11,5.25,266.46,266.57,Spring
16,17.57,7,256.86,5.27,8.74,29.95,32.96,8.39,319.51,54.39,Spring
17,18.57,0.0825,251.33,5.57,9.24,32.21,29.02,7.48,302.72,"1,805.36",Spring
18,17.22,7,231.29,5.16,8.57,29.22,29.88,6.46,288.85,435.35,Spring
20,18.08,9.17,233.64,5.42,9.00,30.62,30.78,5.78,293.79,107.56,Spring
21,17.38,4.45,227.94,5.21,8.65,29.25,30.41,5.94,282.61,302.78,Spring
22,17.09,7.07,221.65,5.13,8.52,28.78,29.20,5.65,277.22,"3,217.60",Spring
23,17.81,6.56,227.63,5.34,8.87,30.14,29.88,5.47,283.75,447.70,Spring
24,17.64,6.89,230.89,5.29,8.78,29.59,30.41,6.41,288.68,390.85,Spring
25,19.50,8.09,250.25,5.85,9.72,33,33.52,5.98,313.42,249.56,Spring
26,17.52,7.90,224.93,5.25,8.73,29.66,30.01,5.30,282.12,170.56,Spring
28,18.12,7.29,232.26,5.43,9.03,30.41,31.23,5.78,291.03,899.45,Spring
29,20.48,9.79,289.02,6.14,10.21,35.06,34.07,5.63,354.86,163.03,Spring
30,17.97,5.49,234.54,5.39,8.95,30.43,30.46,5.86,290.69,-597.54,Spring
31,21,9.68,269.46,6.29,10.45,35.76,35.49,6.43,337.81,386.88,Spring
32,20.87,8.25,271.86,6.26,10.40,35,36.27,6.31,339.35,57.00,Spring
33,20.07,10.14,249.80,6.02,10.01,34.42,33.66,4.95,314.58,526.19,Spring
34,22.69,11.93,286.17,6.80,11.31,39.08,37.49,5.40,359.12,"1,102.22",Spring
36,22.84,7.62,290.99,6.85,11.39,38.94,39.06,5.40,361.30,65.99,Spring
37,25.44,16.39,315.20,7.63,12.69,44,41.83,4.28,398.02,"4,957.09",Spring
38,22,11.93,270.94,6.70,11.14,37.95,36.81,5.88,343.41,"1,114.28",Spring
39,25,17.98,311.89,7.38,12.26,42.01,39.66,6.24,395.43,136.38,Spring
40,21.90,7.86,264.17,6.57,10.92,37.41,33.66,4.94,328.13,"1,893.33",Spring
43,21.04,0.0254,246.20,6.31,10.48,37,25.87,4.75,293.64,53.94,Spring
44,19,0.0235,244.20,5.58,9.25,31,29.81,7.14,296.00,"5,107.90",Spring
45,22,0.0288,243.34,6.50,10.81,38,25.95,4.27,290.90,52.60,Spring
46,19,0.0095,253.51,5.82,9.67,32,31.20,6.70,306.92,48.76,Spring
47,25,0.3215,267.79,7.47,12,45,28.92,2.66,322.93,57.04,Spring
0,15.28,4.70,200.67,4.58,7.60,25.54,27.13,5.19,249.87,202.48,Autumn
16,17.14,8.82,240.39,5.14,8.52,28,31.48,8.80,303.15,53.39,Autumn
17,20.12,10.99,260.25,6.03,10.01,33.82,34.68,8.02,329.98,57.93,Autumn
18,16.93,4.59,213.69,5.08,8.43,28.80,27.12,6.24,265.14,50.19,Autumn
20,17.14,6.14,230.62,5.14,8.53,28.85,29.74,6.79,286.95,52.09,Autumn
21,17,5.35,243.24,5.20,8.63,29.68,31.02,6.90,300.35,53.98,Autumn
22,17,5.72,220.22,5.00,8.31,27.82,30.00,5.49,274.74,49.39,Autumn
23,16.97,3.42,223.59,5.09,8.45,28.34,29.63,5.97,276.13,49.11,Autumn
24,16.91,4.28,220.69,5.07,8.42,28.56,29.24,5.47,273.18,49.44,Autumn
