snow,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,DayWeek,,,,,,,,,,,,
0.23,3,1.50,50.68,0.9531,2,5,5.09,0.88324,60.69,14.75,WeekDay,,,,,,,,,,,,
0.34,4,1.79,44.54,1.09,2,6,5.32,0.36097,54.92,12.07,WeekDay,,,,,,,,,,,,
0.36,4,2,46.43,1.09,2,6,5.68,0.49302,57.28,12.60,WeekDay,,,,,,,,,,,,
7,4,1.85,76.41,1.27,2.05,7,10.94,4.61,97.12,22.51,WeekDay,,,,,,,,,,,,
0.08,4,2,40.24,1.28,2.13,7,5.76,0.28997,52.10,9.47,WeekDay,,,,,,,,,,,,
0.32,8,3.75,94.63,2.27,3.76,13,11.91,0.86739,117.20,25.00,WeekDay,,,,,,,,,,,,
10,9,4.42,103.67,2.70,4,16,13.47,1.45,130.20,27.32,WeekDay,,,,,,,,,,,,
0.04,10.14,3.51,130.61,3.04,5.05,16.87,16.87,2.72,161.80,31.69,WeekDay,,,,,,,,,,,,
0.24,10.98,1,160.26,3.29,5.46,18.07,20.85,4.74,195.62,33.27,WeekDay,,,,,,,,,,,,
0.06,11,6.02,139.71,3.38,5.62,19,19.94,2.95,177.85,34.41,WeekDay,,,,,,,,,,,,
0.22,12,2,147.90,3.63,6.03,20,20.16,2.88,182.26,33.92,WeekDay,,,,,,,,,,,,
2,14.29,7,190.35,4.29,7.11,23.95,28.40,4.65,241.74,49.93,WeekDay,,,,,,,,,,,,
0.18,14,0.0075,173.38,4.30,7,23.80,22.43,4.57,211.81,38.92,WeekDay,,,,,,,,,,,,
0.11,14.38,0.817833333,176.71,4.31,7.16,24.18,22.15,4.11,215.27,39.71,WeekDay,,,,,,,,,,,,
0.01,15.10,2.06,193.03,4.53,7.52,25.06,25.44,4.87,237.46,43.28,WeekDay,,,,,,,,,,,,
0.09,15.64,5,187.02,4.69,8,26,26.68,3.39,234.26,41.61,WeekDay,,,,,,,,,,,,
0,15.75,5.71,203.58,4.71,7.84,26.17,27.45,5.17,254.51,221.38,WeekDay,,,,,,,,,,,,
0.14,16,8.46,197.40,4.74,7.89,26,28.14,3.79,250.42,47.97,WeekDay,,,,,,,,,,,,
1,16,10.34,215.66,4.87,8.10,27,30.69,5.39,275.05,53.08,WeekDay,,,,,,,,,,,,
0.35,17,0.007,221.76,5.01,8,29,27.41,7.16,269.66,49.45,WeekDay,,,,,,,,,,,,
0.66,17,0.009,213.25,5.07,8,27,29.81,7.06,263.62,98.69,WeekDay,,,,,,,,,,,,
0.03,16.98,4.71,210.38,5.09,8.46,28.53,27.26,4.99,260.89,95.01,WeekDay,,,,,,,,,,,,
0.05,18,0.00375,220.59,5.28,9,29,31.98,5.41,272.05,44.77,WeekDay,,,,,,,,,,,,
0.02,18.25,2.98,223.12,5.47,9.09,30.17,30.35,5.44,276.45,"1,123.81",WeekDay,,,,,,,,,,,,
0.3,19,0.0235,244.20,5.58,9.25,31,29.81,7.14,296.00,"5,107.90",WeekDay,,,,,,,,,,,,
0.16,19,0.019,289.16,5.64,9.35,31,37.27,9.20,350.64,87.23,WeekDay,,,,,,,,,,,,
0.74,19,0.008,246.21,5.81,10,31,35.38,7.08,304.18,55.24,WeekDay,,,,,,,,,,,,
0.13,20,0.0035,245.45,5.91,10,32,35.18,6.07,302.43,50.97,WeekDay,,,,,,,,,,,,
5,20,19.44,241.61,5.97,10,33,33.94,6.13,317.03,49.65,WeekDay,,,,,,,,,,,,
0.15,20.18,6.28,232.80,6.05,10.06,33.75,33.24,4.79,293.21,165.38,WeekDay,,,,,,,,,,,,
3,20,19.66,246.90,6.09,10.12,34,34.35,7.27,324.38,56.62,WeekDay,,,,,,,,,,,,
0.07,20,0.0215,240.58,6,10.19,34,29.95,6.86,293.72,52.57,WeekDay,,,,,,,,,,,,
0.48,21,0.009,261.39,6.16,10,33,36.73,7.19,321.72,55.65,WeekDay,,,,,,,,,,,,
0.1,21,7.81,267.10,6.20,10.29,34.53,35.62,6.80,333.83,58.81,WeekDay,,,,,,,,,,,,
0.19,21.92,6.37,276.96,6.57,10.93,36,40.84,5.77,347.44,58.33,WeekDay,,,,,,,,,,,,
0.5,22,8.62,280.44,6.65,11,37,41.19,5.72,353.69,60.00,WeekDay,,,,,,,,,,,,
0.42,23,12.47,261.79,6.84,11,38,39.14,5.66,337.31,66.48,WeekDay,,,,,,,,,,,,
8,29,14,367.94,8.81,15,51,51.57,5.10,462.57,88.27,WeekDay,,,,,,,,,,,,
0,16.30,3.36,205.23,4.85,8.12,28.36,26.81,4.35,253.26,173.51,Weekend,,,,,,,,,,,,
0.01,18.36,4.97,216.58,5.51,9.15,32,27.14,4.50,267.85,51.21,Weekend,,,,,,,,,,,,
0.02,21.61,4.70,263.41,6.48,10.77,38,34.63,5.30,325.28,57.53,Weekend,,,,,,,,,,,,
0.03,11,0.0045,127.34,3,6,18,16.17,3.40,155.87,32.48,Weekend,,,,,,,,,,,,
0.04,15,4.90,176.98,3.86,7.25,25,21.44,3.28,218.20,40.32,Weekend,,,,,,,,,,,,
0.05,20,0.00825,222.32,5.88,9.77,34.19,26.06,4.36,268.39,51.09,Weekend,,,,,,,,,,,,
0.07,8,0.0035,100.46,2.45,4.06,13,12.27,2.95,122.18,26.90,Weekend,,,,,,,,,,,,
0.08,22.68,5,265.08,6.80,11.30,39.83,33.63,4.13,326.03,64.18,Weekend,,,,,,,,,,,,
0.16,19,9.03,228.98,4.41,9.70,35,28.69,2.84,285.07,56.73,Weekend,,,,,,,,,,,,
0.18,21,0.01,285.89,6.42,10.65,37,33.51,8.25,344.74,63.56,Weekend,,,,,,,,,,,,
0.19,11,3,139.06,3.19,5.29,18,17.86,4.36,172.87,36.63,Weekend,,,,,,,,,,,,
0.2,14,6.86,166.34,4.15,6.89,24,22.30,1.15,207.69,42.43,Weekend,,,,,,,,,,,,
0.23,8,0.003,100.30,2.30,3.81,13,11.73,3.93,122.07,26.98,Weekend,,,,,,,,,,,,
0.26,16,7.28,187.38,3.79,7.95,28,23.03,2.22,232.62,299.27,Weekend,,,,,,,,,,,,
0.31,18,9,224.78,5.38,8.92,32,30.84,1.95,280.72,58.29,Weekend,,,,,,,,,,,,
0.33,10,0.005,104.58,2.89,4.79,16,13.23,2.43,127.91,26.63,Weekend,,,,,,,,,,,,
0.37,23,0.012,256.71,6.77,11.26,39,30.76,5.17,310.68,56.20,Weekend,,,,,,,,,,,,
0.39,16,8.01,197.65,4.84,8.05,28,26.67,1.54,246.77,51.27,Weekend,,,,,,,,,,,,
0.6,16,6.96,182.71,4.79,7.97,28,24.31,3.88,230.60,46.70,Weekend,,,,,,,,,,,,
1,16.09,0.853,183.63,4.83,8.02,27.96,21.61,3.36,222.30,43.50,Weekend,,,,,,,,,,,,
4,13.65,1.56,163.52,4.10,6.80,24,19.11,3.16,198.23,39.99,Weekend,,,,,,,,,,,,
