speed,avgPickupsCount,avgExtra,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
0,11.53566957,2.348210522,3.414174783,5.740991826,19.32413913,18.4035587,3.700028609,179.8448123,183.6323677,Winter
3,13.47175,3.071054706,4.029529412,6.706383529,22.47636765,21.291125,3.866488529,204.7636229,264.4238091,Winter
5,13.04041667,3.610649722,3.899025,6.491838889,21.97520833,20.93386542,3.621384167,200.4809769,83.37359889,Winter
6,17.64779048,4.94166019,5.243348571,8.792106095,29.57932381,28.52630324,4.581100762,272.8981982,44.63191371,Winter
7,16.29131818,4.457101061,4.793797727,8.116561364,27.39020455,55.95137879,4.113262955,287.7922022,115.2344562,Winter
8,15.0710942,4.176119275,4.449252174,7.506277681,25.38519565,24.48453268,4.010586522,230.8979616,74.33229232,Winter
9,17.1568042,5.250063007,5.053913287,8.547615385,28.96636364,27.69653259,4.304646853,259.5421113,2.473,Winter
10,16.61954,5.611688333,4.848294,8.279977733,28.20087333,26.32274167,4.098342333,251.3717579,345.3249872,Winter
11,17.61450685,6.417297877,5.160782877,8.776731096,29.70571233,28.32814966,4.346098288,266.2861938,318.1475628,Winter
13,18.42166013,5.763063856,5.358756863,9.176645425,31.08000654,29.8519249,4.832527843,280.2504904,326.0049995,Winter
14,15.822528,4.38066048,4.5643584,7.880176,26.620568,25.32423232,4.51117688,241.0088946,330.4511169,Winter
15,17.13993396,5.381291509,5.004365094,8.537066038,28.85585849,27.26905962,4.593163113,262.7793679,214.1903538,Winter
16,18.13964646,6.013048788,5.352787879,9.038969697,30.75714141,28.63906333,4.252513636,270.8789319,293.2547636,Winter
17,17.01681,4.9784676,4.991334,8.478065,28.74423,26.6693715,4.6299595,254.6532929,288.4058564,Winter
18,16.61366197,6.918115634,4.798715493,8.276021127,28.00487324,26.71339803,4.358722254,253.6567406,472.0683372,Winter
20,15.9437037,5.51469321,4.6957,7.941469136,26.59475309,25.46961864,4.514275926,240.7209986,546.3915477,Winter
21,16.84323636,4.797846364,4.97238,8.388518182,28.21078182,26.57361527,4.807903455,252.905796,201.9408684,Winter
22,17.09956897,7.669968621,5.070744828,8.521948276,28.49365517,27.48362966,4.184815862,256.131489,599.2823959,Winter
23,16.06393182,6.107947955,4.723609091,8.000761364,26.95954545,26.39677955,4.704032955,249.1804298,45.87689182,Winter
24,15.85493939,6.331061212,4.751681818,7.898939394,26.64518182,25.72940515,4.235167879,241.22317,95.77316636,Winter
25,15.2335,3.964667083,4.567325,7.582645833,25.72241667,24.54090667,4.549154167,235.2752421,275.0664492,Winter
26,17.6800625,6.58875125,5.1696375,8.80684375,30.0815,27.67539563,4.73029125,263.6277013,48.56623688,Winter
28,17.17234615,5.85946,5.149257692,8.552076923,29.23338462,28.03923385,4.181026154,260.0526315,51.931725,Winter
29,16.19135,4.7485765,4.854255,8.061975,27.3457,25.995589,4.362026,245.521348,49.992986,Winter
30,16.76866667,6.678777778,5.028866667,8.357055556,28.09922222,24.70169667,4.232186667,236.8991122,44.23711889,Winter
31,23.65455556,10.31500444,7.090166667,11.79383333,40.98055556,39.27683222,4.683232222,360.3689356,69.98257667,Winter
32,24.88725,4.006875,7.464225,12.409375,41.91075,37.4044725,5.06402,345.96891,64.2122825,Winter
33,20.84833333,13.34133333,6.2486,10.38930333,35.034,34.40862,4.959615,316.3053233,58.16910333,Winter
34,16.781,8.1835,5.0172,8.357,28.222,29.08518,4.34189,269.98635,57.81437,Winter
36,8.6665,2.22275,2.59935,4.2975,14.4815,11.797155,1.50806,124.6912,26.6284,Winter
37,16.972,0,5.0907,8.463,28.638,20.76913,2.92813,208.74238,41.7237,Winter
0,14.67190435,3.095664087,4.398242609,7.302914261,24.30545217,26.553638,5.226907043,240.1423191,76.83904522,Autumn
3,14.0101978,2.720709231,4.19972967,6.97123956,23.22298901,24.91559011,5.09542022,229.0932036,2243.02858,Autumn
5,14.22005161,3.824700968,4.262581935,7.078614452,23.79516774,24.77381226,4.589853355,230.15972,56.81066155,Autumn
6,14.57033929,3.813787024,4.367691071,7.253143214,24.39519048,25.77780065,4.987842857,236.7971895,133.5672176,Autumn
