temp,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
63,7,3,99.48,2.17,4,12.71,10.26,1.85,120.63,24.8,Winter
60,9,1.84,117.6,2.82,4.69,16.37,13.1,2.76,142.81,29.44,Winter
59,11.09,5.47,138.63,3.32,5.52,19.03,17.01,3.13,173.08,34.15,Winter
6,11.23,2,138.06,3.37,5.58,18.94,16.87,2.85,168.77,"2,280.54",Winter
51,11.29,3.2,219.1,3.18,5.62,19.47,17.19,3.16,251.65,35.42,Winter
53,11,1.92,138.23,3.41,5.66,19.09,17.59,3.55,170.34,32.9,Winter
61,11.43,4.58,148.67,3.43,5.69,19.62,18.89,3.57,184.82,572.75,Winter
58,11.43,2.51,144.23,3.43,5.69,19.71,17.33,3.4,176.59,35.24,Winter
64,11,3,137.81,3.43,6,20.74,13.87,2.37,166.42,33.33,Winter
62,11.85,4.5,157.05,3.55,5.91,20.89,17.8,3.71,192.52,40.59,Winter
54,12.48,2.93,158.54,3.55,6.21,21.53,18.86,4.28,194.55,159.96,Winter
10,12.96,0.471714286,158.09,3.88,6.45,21.24,20.14,3.36,192.4,33.81,Winter
50,12.98,4.88,166.36,3.63,6.46,22.15,20.27,4.56,206.43,98.39,Winter
12,13.23,2.93,160.03,3.97,6.59,22.14,20.39,3.47,197.38,40.11,Winter
9,13.56,1.23,155.8,4.06,6.75,22.3,20.18,3.21,199.08,35.41,Winter
56,13.68,9.62,180.17,4.1,7,22.89,23.95,5.01,229.66,38.98,Winter
5,14.03,0.395269,163.2,4.21,6.98,22.93,21.46,4.72,200.96,44.48,Winter
66,14.84,10.63,169.25,4.45,7,25.96,18.76,3.64,214.11,39.87,Winter
69,15,14.58,169.37,4.49,7.46,27,18.46,2.78,217.14,40.17,Winter
42,15.07,3.3,187.29,4.39,7.51,25.49,107.99,4.7,315.3,412.15,Winter
55,15.34,4.96,197.78,4.6,7.63,26.01,24.45,5.5,244.92,43.62,Winter
33,15.59,4.76,189.48,4.61,7.77,25.88,25.43,4.48,236.61,44.22,Winter
15,15.72,1.71,193.67,4.71,7.82,26.14,25.56,4.61,238.09,60.17,Winter
13,15.76,0.606833333,192.31,4.72,7.85,26.12,24.65,4.76,234.89,43.12,Winter
43,15.85,6.54,197.98,4.58,7.9,26.96,25.52,4.59,247.29,46.66,Winter
7,16.11,1.02,208.81,4.83,8.02,26.36,25.93,4.43,253.03,42.41,Winter
37,16.27,6.18,197.33,4.69,8.11,27.28,26.42,4.3,247.22,243.79,Winter
52,16.29,4.79,206.9,4.31,8.12,28.15,24.63,5.45,254.77,151.89,Winter
24,16.31,6.51,194.89,4.89,8.12,27.32,26.15,3.82,245.57,208.36,Winter
40,16.32,6.47,199.08,4.56,8.13,27.69,26.01,4.33,248.91,476.97,Winter
20,16.32,3.18,194.16,4.89,8.13,27.37,25.4,4.04,239.81,44.65,Winter
32,16.4,4.84,201.13,4.85,8.17,27.31,27.04,4.27,250.35,-147.43,Winter
21,16.42,5.22,200.71,4.92,8,27.52,26.72,4.29,250.09,525.28,Winter
35,16.43,4.2,201.19,4.86,8.18,27.62,26.58,4.55,249.63,272.59,Winter
36,16.44,5.46,200.6,4.9,8.19,27.52,26.89,4.22,250.29,-117.82,Winter
11,16.47,0.484666667,203.76,4.94,8.2,27.05,26.41,4.81,248.6,42.82,Winter
16,16.48,1.86,195.94,4.94,8.21,27.51,25.65,4.48,241.08,44.83,Winter
47,16.54,6.04,207.22,4.86,8.24,28.4,26.55,4.89,257.89,49.84,Winter
41,16.58,6.45,202.78,4.79,8.26,28.09,26.75,4.84,254.06,81.53,Winter
14,16.59,2.21,201.18,4.97,8.26,27.35,26.78,4.55,247.96,45.62,Winter
18,16.61,3.07,198.9,4.98,8.27,27.81,25.55,4.36,245.12,49.69,Winter
34,16.62,3.43,198.01,4.95,8.28,27.78,26.4,4.39,245.49,496.06,Winter
19,16.68,4,203.78,5,8.31,28.04,26.94,4.39,252.42,215.85,Winter
23,16.71,6.24,203.3,5.01,8.33,28.19,27.4,3.91,254.18,332.92,Winter
22,16.76,6.63,201.12,5.02,8.35,28.3,26.64,4.07,251.83,186.75,Winter
27,16.84,6.83,199.49,5.05,8.39,28.35,27.29,3.67,250.75,389.67,Winter
31,16.88,4.42,207.37,4.83,8.41,28.5,27.2,4.24,256.7,446.37,Winter
46,16.98,2,207.63,4.53,8.46,28.96,25.43,4.99,253.6,69.74,Winter
67,16.99,16.6,193.35,5.09,8.47,29.59,22.06,4.01,249.58,45.42,Winter
26,17.02,5.36,202.07,5.1,8.48,28.61,27.15,3.81,259.18,265.4,Winter
25,17.11,5.62,204.43,5.13,8.52,28.75,27.61,3.86,255.17,619.12,Winter
45,17.26,2.16,214.51,5.12,8.6,29,27.24,5.5,263.19,335.34,Winter
48,17.38,7.91,219.85,5.11,8.66,29.89,27.96,5.24,274.82,330.97,Winter
57,17.41,12.58,215.97,5.22,8.67,29.32,28.76,5.01,276.21,47.93,Winter
29,17.5,5.94,214.27,5.12,8.72,29.52,28.12,4.51,266.85,581.59,Winter
38,17.56,8.9,213.97,5.16,8.75,29.51,29.48,4.59,270.95,688.95,Winter
49,17.84,12.26,217.85,5.35,8.89,30.42,29.54,4.06,277.94,225.45,Winter
44,18,5.88,222.22,4.93,9.05,30.86,28.32,5.36,276.26,55.86,Winter
39,18.21,8.24,218.67,4.93,9.07,31.3,28.56,4.16,274.16,253.65,Winter
28,18.26,5.21,219.09,5.45,9.1,30.58,29.01,4.45,272.33,346.27,Winter
30,18.57,5.64,229.02,5.41,9.25,31.35,30.38,4.81,284.65,83.55,Winter
17,18.96,3.09,241.46,5.69,9.45,31.82,30.25,4.9,294.84,55.86,Winter
8,19.86,0.09175,238.22,5.96,9.89,32.02,31.63,5.58,291.37,51.9,Winter
3,22,0.011,253.55,6.47,11,36,32.15,5.21,308.16,49.8,Winter
4,23,0.012833333,266.17,6.87,11.41,37.37,35.16,5.17,324.81,52.93,Winter
31,20,0.0145,239.16,6.13,10.19,33,34.28,4.37,294.14,48.32,Autumn
33,13.96,0.1311,172.64,4.18,6.94,22,23.17,4.99,212.05,38.44,Autumn
34,16,0.3305,202.39,4.71,7.82,25.22,28.82,5.87,249.93,42.86,Autumn
35,11.44,0.392431429,161.38,3.43,5.68,18.53,20.56,4.94,196.38,34.67,Autumn
36,14.2,0.165805556,172.6,4.26,7.07,23.64,22.94,5.16,212.2,39.8,Autumn
37,15.14,0.247538462,184.44,4.54,7.54,25.1,24.45,4.98,226.19,41.76,Autumn
38,10.32,1.15,133.12,3.09,5.13,17.36,17.05,4.25,163.79,32.53,Autumn
39,12.11,2.26,152.62,3.63,6.02,20.71,19.49,3.78,187.79,36.06,Autumn
40,14.91,2.9,185.21,4.47,7.42,25.35,24.11,3.94,228.05,44.01,Autumn
41,13.62,1.41,172.92,4.08,6.78,22.91,22.57,5.06,212.82,40.94,Autumn
42,11.61,1.58,154.93,3.48,5.77,19.55,19.76,4.33,189.85,39.85,Autumn
43,14,2.52,183.53,4.2,6.97,23.2,24.79,4.91,226.92,42.3,Autumn
44,13.56,3.79,173.34,4.06,6.75,22.74,23.33,4.05,215.32,41.52,Autumn
45,15,4.53,193.87,4.49,7.46,25.04,26.54,4.55,241.44,80.74,Autumn
46,14.86,3.92,191.12,4.45,7.4,24.76,25.91,4.9,237.71,69.7,Autumn
47,16.88,3.95,217.71,5.06,8.4,28.33,29.04,5.26,269.43,"4,082.22",Autumn
48,14.41,3.83,190.91,4.32,7.17,23.92,26.18,5.14,237.56,43.27,Autumn
49,16.7,5.07,216.43,5.01,8.31,28.03,29.59,5.38,269.78,124.19,Autumn
50,17,4.51,222.39,5.1,8.47,28.6,29.58,5.6,275.64,147.17,Autumn
51,15.92,5.55,207.9,4.77,7.93,26.73,27.9,5.15,259.2,50.36,Autumn
52,16.98,4.84,220.07,5.09,8.46,28.55,29.77,5.38,273.61,206.76,Autumn
53,15.39,4.56,200.9,4.61,7.66,25.8,27.32,4.76,249.82,45.73,Autumn
54,14.42,3.62,185.79,4.32,7.18,24.14,24.9,4.5,230.3,61.36,Autumn
55,14.34,3.53,184.66,4.3,7.14,24.19,24.59,4.3,228.52,56.01,Autumn
56,14.63,3.21,189.65,4.38,7.28,24.63,25.1,4.67,234.3,215.39,Autumn
57,14.95,5.35,198.29,4.48,7.44,24.93,27.17,5.3,248.05,155.72,Autumn
58,16.57,5.59,219.43,4.97,8.25,27.63,30.3,5.79,274.33,49.36,Autumn
59,15.87,6.33,210.86,4.76,7.9,26.47,28.91,5.43,264.19,78.01,Autumn
60,15.04,4.98,200.95,4.51,7.49,25.18,27.28,5.3,250.5,45.74,Autumn
61,15.06,4.7,201.14,4.51,7.49,25.17,26.91,5.58,250.34,45.27,Autumn
62,15.83,5,212.42,4.75,7.88,26.48,28.71,5.74,264.49,72.57,Autumn
63,13.9,3.7,187.89,4.17,6.92,23.09,25.35,4.93,232.95,43.59,Autumn
64,15.63,4.88,213.58,4.69,7.78,26.16,28.02,5.6,264.55,47.79,Autumn
65,16.48,6.09,215.92,4.94,8.21,27.8,28.92,5.56,269.64,50.12,Autumn
66,17.41,6.8,232.27,5.22,8.67,29.14,31.9,5.77,290.63,110.42,Autumn
67,16.47,7.08,222.32,4.94,8.2,27.67,30.64,5.54,278.71,52.68,Autumn
68,19.33,8.8,258.3,5.8,9.63,32.39,35.49,6.61,324.62,58.33,Autumn
69,18.76,9.67,253.37,5.62,9.34,31.34,34.44,7.48,319.92,57.25,Autumn
70,18.88,9.45,249.12,5.66,9.4,31.45,34.47,6.23,314.33,55.88,Autumn
71,16.37,6.05,216.74,4.91,8.15,27.31,29.15,5.8,270.8,49.37,Autumn
72,17.66,7.73,228.03,5.29,8.79,29.52,29.99,6.23,286.06,51.56,Autumn
73,18.26,11.07,242.46,5.47,9.1,30.24,33.27,6.55,307.93,52.39,Autumn
74,16.7,7.34,226.17,5.01,8.3,27.79,30.66,6.7,284.18,49.85,Autumn
75,14.94,9.38,191.19,4.48,7.44,24.8,27.07,4.52,244.08,47.16,Autumn
76,17,3.65,236.03,5.21,8.66,29,31.91,6.77,292.23,51.23,Autumn
77,17.37,8.86,244.63,5.21,8.64,28.86,33.58,7.74,308.67,53.5,Autumn
78,17.51,11.55,235.84,5.25,8.72,28.98,31.97,7.29,300.62,50.8,Autumn
79,19,18.38,240.58,5.83,9.68,32,33.86,6.5,314.83,54.12,Autumn
